Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
18,6,Wed-Thu,H — Healthcare,Reference Arch: Clinical Decision Support,2,Not Started,"healthcare/cds_architecture.md, healthcare/cds_prototype.py outline","RAG over clinical guidelines, audit-grade logging, doctor-in-the-loop HITL, faithfulness as safety floor",Session 9,Whiteboard a real CDS
19,6,Sat,H — Healthcare,Case Study: HIPAA-Compliant Medical Chatbot,2,Not Started,"healthcare/medical_chatbot/","PII redaction (Presidio), citation grounding, audit trail, reverse-engineering of Hippocratic/Glass Health/K Health/Abridge",Session 18,Vertical slice build
20,7,Mon-Tue,I — Agriculture,AgriTech AI Landscape,2,Not Started,"agritech/landscape.md","Smallholder vs commercial farming, India constraints (8 crore farmers, vernacular, connectivity), use case taxonomy, multi-modal as requirement",Sessions 14-16,Likely India-first focus
21,7,Wed-Thu,I — Agriculture,Reference Arch: Crop Diagnostic + Advisory,2,Not Started,"agritech/cropdoc_architecture.md","Vision-first agent (image input), voice I/O via Whisper, offline-tolerant design, vernacular RAG, government scheme retrieval",Session 8,Multi-modal is mandatory here
22,7,Sat,I — Agriculture,Case Study: Vernacular Farmer Bot,2,Not Started,"agritech/farmer_bot/","WhatsApp-first farmer assistant, ₹-paise unit economics, trust calibration, audit Cropin/DeHaat/Plantix/Jio Krishi",Session 21,Tier 2/3 India target
23,8,Mon-Tue,J — Finance,FinTech AI Landscape & Regulation,2,Not Started,"fintech/landscape.md, fintech/regulatory_map.md","RBI/SEC/FINRA/MiFID II/SOX/PCI DSS, sub-vertical taxonomy (retail/markets/payments/insurance/wealth), explainability requirements, AI advice liability",Sessions 14-16,Pick sub-vertical focus
24,8,Wed-Thu,J — Finance,Reference Arch: Fraud + Customer Support,2,Not Started,"fintech/fraud_support_architecture.md","Hybrid deterministic + LLM, real-time guardrails with latency budgets, structured output everywhere, tool-call gating (no model-decided transactions)",Session 24,Hybrid arch is mandatory
25,8,Sat,J — Finance,Case Study: Investment Research Assistant,2,Not Started,"fintech/investment_research/","Financial-document RAG with Citations API, batch processing for earnings, faithfulness scoring, audit Boosted.ai/AlphaSense/Bloomberg GPT",Session 8,Compliance-grade build
26,9,Mon-Tue,K — Vidya Karana,Domain & Content Strategy,2,Not Started,"vidya_karana/domain_map.md","Vedic texts / Yoga Sutras / Ayurvedic shastras, target audience tiers, Sanskrit + vernacular + English, wellness-vs-medical-claim line, cultural sensitivity",Sessions 14-16,Will refine with vidya-karana repo
27,9,Wed-Thu,K — Vidya Karana,Reference Arch: Applied-Wisdom Assistant,2,Not Started,"vidya_karana/architecture.md","Multi-source RAG (texts + commentary + modern), voice for guided practice, vision for pose feedback, personalization per practice level, citation-to-source-text",Session 8,Multi-modal practice support
28,9,Sat,K — Vidya Karana,Case Study: Build Slice of vidya-karana,2,Not Started,"vidya_karana/build_slice/","Daily practice flow, cost engineering for daily-use, trust calibration (wisdom vs woo), align to actual vidya-karana repo when available",Session 27,Aligns to user's actual repo
29,10,Mon-Tue,L — Family AI Agent,Landscape: Identity Privacy Channels,2,Not Started,"family_ai/landscape.md, family_ai/identity_model.md","Multi-generational stakeholders (kids/adults/elders), COPPA, elder consent, family account model, access control matrix, WABA constraints + 24h windows",Sessions 14-16,Three channels: web + mobile + WhatsApp
30,10,Wed-Sat,L — Family AI Agent,Reference Arch I: Meal + Archivist Specialists,2,Not Started,"family_ai/meal_archivist_arch.md","Meal Specialist (pantry/diet/recipes), Family Archivist (long-term semantic memory + photo retrieval + voice memos), shared family memory schema, who's-asking router",Session 3,Two of three specialist agents
31,11,Mon-Tue,L — Family AI Agent,Reference Arch II: Scheduler + Proactive Loop,2,Not Started,"family_ai/scheduler_proactive_arch.md","Scheduler/Reminder Agent (calendars/birthdays/school/medication), proactive notification engine, template management for WhatsApp, Family Concierge supervisor",Session 30,Adds the proactive layer
32,11,Wed-Sun,L — Family AI Agent,Case Study + Vertical Slice Build,2,Not Started,"family_ai/family_concierge/","Reverse-engineer Ohai.ai + Maya + Alexa Routines, build Family Concierge supervisor + 3 specialists + WhatsApp adapter, cost engineering, shipping checklist",Sessions 29-31,Capstone — most complex vertical
